"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Peguero, Liover","678894","2023","213","134",0.237,0.228,0.00899999999999998,0.374,0.337,0.03699999999999998,0.284,0.27,0.013999999999999957
"Larnach, Trevor","663616","2023","212","113",0.213,0.213,0,0.415,0.429,-0.014000000000000012,0.313,0.321,-0.008000000000000007
"Hedges, Austin","595978","2023","212","151",0.184,0.215,-0.031,0.227,0.289,-0.06199999999999997,0.209,0.253,-0.04400000000000001
"Ahmed, Nick","605113","2023","210","146",0.212,0.226,-0.014000000000000012,0.303,0.325,-0.02200000000000002,0.247,0.263,-0.016000000000000014
"Triolo, Jared","669707","2023","209","119",0.298,0.257,0.04099999999999998,0.398,0.378,0.020000000000000018,0.35,0.326,0.023999999999999966
"Duffy, Matt","622110","2023","209","154",0.251,0.269,-0.018000000000000016,0.325,0.347,-0.021999999999999964,0.281,0.298,-0.01699999999999996
"Slater, Austin","596103","2023","207","127",0.27,0.255,0.015000000000000013,0.4,0.443,-0.04299999999999998,0.33,0.338,-0.008000000000000007
"Arroyo, Christian","624414","2023","206","153",0.241,0.236,0.0050000000000000044,0.369,0.349,0.020000000000000018,0.274,0.273,0.0010000000000000009
"McGuire, Reese","624512","2023","206","137",0.267,0.207,0.060000000000000026,0.358,0.281,0.07699999999999996,0.293,0.242,0.05099999999999999
"Pillar, Kevin","607680","2023","206","150",0.228,0.255,-0.026999999999999996,0.416,0.418,-0.0020000000000000018,0.28,0.295,-0.014999999999999958
"Rodríguez, Endy","682848","2023","204","138",0.22,0.232,-0.01200000000000001,0.328,0.375,-0.046999999999999986,0.271,0.294,-0.022999999999999965
"Cave, Jake","595909","2023","203","132",0.212,0.203,0.00899999999999998,0.348,0.358,-0.010000000000000009,0.271,0.277,-0.006000000000000005
"Barnes, Austin","605131","2023","200","138",0.18,0.214,-0.034,0.242,0.309,-0.067,0.229,0.273,-0.04400000000000001
"O'Hoppe, Logan","681351","2023","199","135",0.236,0.257,-0.02100000000000002,0.5,0.5,0,0.337,0.346,-0.008999999999999952
"Maile, Luke","571912","2023","199","131",0.235,0.234,0.0009999999999999731,0.391,0.416,-0.024999999999999967,0.307,0.315,-0.008000000000000007
"Winker, Jesse","608385","2023","197","116",0.199,0.204,-0.004999999999999977,0.247,0.296,-0.04899999999999999,0.269,0.287,-0.01799999999999996
"Zavala, Seby","664874","2023","193","109",0.171,0.188,-0.016999999999999987,0.314,0.305,0.009000000000000008,0.239,0.246,-0.007000000000000006
"Rodgers, Brendan","663898","2023","192","137",0.258,0.256,0.0020000000000000018,0.388,0.428,-0.03999999999999998,0.307,0.321,-0.014000000000000012
"Peraza, Oswald","672724","2023","191","123",0.191,0.222,-0.031,0.272,0.331,-0.059,0.246,0.281,-0.03500000000000003
"Donaldson, Josh","518626","2023","189","117",0.152,0.203,-0.05100000000000002,0.418,0.471,-0.05299999999999999,0.284,0.325,-0.041000000000000036
"Pérez, Carlos","542208","2023","189","132",0.226,0.258,-0.032,0.357,0.39,-0.03300000000000003,0.285,0.314,-0.029000000000000026
"Delay, Jason","641511","2023","187","126",0.251,0.213,0.038000000000000006,0.347,0.298,0.04899999999999999,0.296,0.263,0.032999999999999974
"Stewart, DJ","621466","2023","185","106",0.244,0.232,0.011999999999999983,0.506,0.462,0.043999999999999984,0.358,0.339,0.01899999999999996
"Reyes, Pablo","622569","2023","185","150",0.287,0.265,0.021999999999999964,0.377,0.393,-0.016000000000000014,0.315,0.31,0.0050000000000000044
"Rendon, Anthony","543685","2023","183","125",0.236,0.264,-0.028000000000000025,0.318,0.391,-0.07300000000000001,0.312,0.357,-0.044999999999999984
"Canzone, Dominic","686527","2023","182","141",0.22,0.258,-0.038000000000000006,0.399,0.47,-0.07099999999999995,0.282,0.326,-0.04400000000000004
"Gonzalez, Oscar","660757","2023","180","128",0.214,0.237,-0.022999999999999993,0.312,0.362,-0.04999999999999999,0.239,0.271,-0.03200000000000003
"Velázquez, Nelson","676369","2023","179","112",0.235,0.255,-0.020000000000000018,0.586,0.575,0.01100000000000001,0.369,0.374,-0.0050000000000000044
"Thompson, Trayce","572204","2023","179","76",0.163,0.165,-0.0020000000000000018,0.294,0.322,-0.028000000000000025,0.266,0.275,-0.009000000000000008
"Urías, Luis","649966","2023","177","103",0.194,0.182,0.01200000000000001,0.299,0.311,-0.01200000000000001,0.298,0.297,0.0010000000000000009
"Alu, Jake","666906","2023","175","120",0.226,0.242,-0.015999999999999986,0.289,0.339,-0.050000000000000044,0.256,0.283,-0.02699999999999997
"Campusano, Luis","669134","2023","174","143",0.319,0.305,0.014000000000000012,0.491,0.464,0.02699999999999997,0.364,0.353,0.01100000000000001
"Calhoun, Kole","594777","2023","174","122",0.217,0.235,-0.017999999999999988,0.376,0.397,-0.02100000000000002,0.286,0.303,-0.017000000000000015
"Sosa, Lenyn","672820","2023","173","128",0.201,0.25,-0.04899999999999999,0.348,0.413,-0.065,0.241,0.29,-0.04899999999999999
"Wallach, Chad","595453","2023","172","102",0.197,0.212,-0.014999999999999986,0.376,0.405,-0.029000000000000026,0.275,0.292,-0.01699999999999996
"Tapia, Raimel","606132","2023","169","110",0.236,0.224,0.011999999999999983,0.338,0.338,0,0.293,0.297,-0.0040000000000000036
"Freeman, Tyler","671289","2023","168","126",0.242,0.272,-0.030000000000000027,0.366,0.397,-0.031000000000000028,0.29,0.315,-0.025000000000000022
"Perkins, Blake","663368","2023","168","99",0.217,0.194,0.022999999999999993,0.35,0.302,0.04799999999999999,0.303,0.279,0.023999999999999966
"Trevino, Jose","624431","2023","168","136",0.21,0.245,-0.035,0.312,0.344,-0.03199999999999997,0.252,0.279,-0.027000000000000024
"Story, Trevor","596115","2023","168","103",0.203,0.21,-0.0069999999999999785,0.316,0.354,-0.03799999999999998,0.249,0.266,-0.017000000000000015
"Moore, Dylan","664238","2023","165","89",0.207,0.203,0.003999999999999976,0.428,0.432,-0.0040000000000000036,0.317,0.317,0
"Rojas, Johan","679032","2023","164","113",0.302,0.247,0.05499999999999999,0.43,0.304,0.126,0.335,0.267,0.068
"Mejía, Francisco","642336","2023","160","115",0.227,0.204,0.02300000000000002,0.4,0.319,0.08100000000000002,0.28,0.243,0.03700000000000003
"Remillard, Zach","621545","2023","160","103",0.252,0.2,0.05199999999999999,0.32,0.244,0.07600000000000001,0.27,0.219,0.05100000000000002
"Murphy, Tom","608596","2023","159","103",0.29,0.261,0.02899999999999997,0.538,0.498,0.040000000000000036,0.367,0.351,0.016000000000000014
"Adams, Riley","656180","2023","158","100",0.273,0.227,0.04600000000000001,0.476,0.353,0.123,0.344,0.283,0.061
"Odor, Rougned","596059","2023","157","101",0.203,0.241,-0.03799999999999998,0.355,0.391,-0.03600000000000003,0.291,0.32,-0.029000000000000026
"Amaya, Miguel","665804","2023","156","93",0.214,0.232,-0.018000000000000016,0.359,0.393,-0.03400000000000003,0.31,0.332,-0.02200000000000002
"Nola, Austin","543592","2023","154","103",0.146,0.2,-0.05400000000000002,0.192,0.263,-0.07100000000000001,0.22,0.266,-0.04600000000000001
"Miranda, Jose","669304","2023","152","118",0.211,0.242,-0.031,0.303,0.345,-0.04199999999999998,0.252,0.281,-0.029000000000000026
"Toglia, Michael","669911","2023","152","91",0.163,0.203,-0.04000000000000001,0.284,0.313,-0.029000000000000026,0.225,0.255,-0.03
"Cruz, Nelson","443558","2023","152","98",0.245,0.242,0.0030000000000000027,0.399,0.417,-0.01799999999999996,0.291,0.297,-0.006000000000000005
"Dickerson, Corey","572816","2023","152","117",0.25,0.256,-0.006000000000000005,0.354,0.372,-0.018000000000000016,0.277,0.288,-0.010999999999999954
"Schoop, Jonathan","570731","2023","151","101",0.213,0.23,-0.017000000000000015,0.272,0.328,-0.055999999999999994,0.249,0.276,-0.027000000000000024
"Kelly, Carson","608348","2023","151","97",0.206,0.185,0.02099999999999999,0.287,0.279,0.007999999999999952,0.255,0.245,0.010000000000000009
"Barrero, José","676480","2023","149","90",0.218,0.219,-0.0010000000000000009,0.323,0.325,-0.0020000000000000018,0.276,0.277,-0.0010000000000000009
"Calhoun, Willie","641432","2023","149","115",0.239,0.26,-0.02100000000000002,0.403,0.371,0.03200000000000003,0.307,0.305,0.0020000000000000018
"Valdez, Enmanuel","665839","2023","149","102",0.266,0.236,0.030000000000000027,0.453,0.426,0.027000000000000024,0.328,0.305,0.02300000000000002
"Mastrobuoni, Miles","670156","2023","149","104",0.241,0.259,-0.018000000000000016,0.301,0.356,-0.05499999999999999,0.275,0.302,-0.02699999999999997
"Gallagher, Cam","595956","2023","149","98",0.126,0.154,-0.027999999999999997,0.168,0.207,-0.03899999999999998,0.145,0.173,-0.027999999999999997
"Clemens, Kody","665019","2023","148","99",0.23,0.224,0.006000000000000005,0.367,0.347,0.020000000000000018,0.281,0.271,0.010000000000000009
"McKinney, Billy","641856","2023","147","90",0.227,0.242,-0.014999999999999986,0.406,0.471,-0.06499999999999995,0.315,0.346,-0.030999999999999972
"Smith, Kevin","675656","2023","146","89",0.185,0.18,0.0050000000000000044,0.326,0.335,-0.009000000000000008,0.236,0.237,-0.0010000000000000009
"Narváez, Omar","553882","2023","146","105",0.211,0.252,-0.04100000000000001,0.297,0.386,-0.08900000000000002,0.259,0.31,-0.05099999999999999
"Wynns, Austin","642851","2023","145","95",0.208,0.183,0.024999999999999994,0.277,0.247,0.030000000000000027,0.245,0.224,0.02099999999999999
"Meadows, Parker","678009","2023","145","89",0.232,0.251,-0.01899999999999999,0.368,0.391,-0.02300000000000002,0.308,0.325,-0.017000000000000015
"Pollock, AJ","572041","2023","144","103",0.165,0.201,-0.036000000000000004,0.308,0.359,-0.05099999999999999,0.227,0.267,-0.04000000000000001
"Schneider, Davis","676914","2023","141","73",0.276,0.214,0.06200000000000003,0.603,0.459,0.14399999999999996,0.424,0.355,0.069
"Myers, Wil","571976","2023","141","81",0.189,0.189,0,0.283,0.297,-0.014000000000000012,0.243,0.249,-0.006000000000000005
"Villar, David","681584","2023","140","80",0.145,0.211,-0.066,0.315,0.407,-0.09199999999999997,0.244,0.306,-0.062
"Zunino, Mike","572287","2023","140","63",0.177,0.157,0.01999999999999999,0.306,0.269,0.03699999999999998,0.261,0.24,0.02100000000000002
"Batten, Matthew","676946","2023","139","91",0.258,0.21,0.048000000000000015,0.358,0.263,0.09499999999999997,0.321,0.27,0.05099999999999999
"McKenna, Ryan","663630","2023","139","87",0.254,0.226,0.027999999999999997,0.361,0.333,0.02799999999999997,0.298,0.276,0.021999999999999964
"Soderstrom, Tyler","691016","2023","138","83",0.16,0.215,-0.05499999999999999,0.24,0.339,-0.09900000000000003,0.216,0.276,-0.060000000000000026
"Blanco, Dairon","680118","2023","138","93",0.258,0.243,0.015000000000000013,0.452,0.379,0.07300000000000001,0.333,0.304,0.029000000000000026
"Winn, Masyn","691026","2023","137","101",0.172,0.214,-0.04200000000000001,0.238,0.285,-0.046999999999999986,0.211,0.25,-0.03900000000000001
"Ortega, Rafael","542364","2023","136","82",0.219,0.211,0.008000000000000007,0.272,0.269,0.0030000000000000027,0.288,0.283,0.0050000000000000044
"Schanuel, Nolan","694384","2023","132","90",0.275,0.276,-0.0010000000000000009,0.33,0.362,-0.03199999999999997,0.336,0.346,-0.009999999999999953
"Wisely, Brett","689172","2023","131","82",0.175,0.181,-0.006000000000000005,0.267,0.295,-0.02799999999999997,0.222,0.238,-0.015999999999999986
"Butler, Lawrence","671732","2023","129","89",0.211,0.232,-0.02100000000000002,0.341,0.419,-0.07799999999999996,0.251,0.289,-0.03799999999999998
"Gonzales, Nick","693304","2023","128","82",0.209,0.201,0.00799999999999998,0.348,0.313,0.034999999999999976,0.268,0.257,0.01100000000000001
"Robles, Victor","645302","2023","126","93",0.299,0.266,0.032999999999999974,0.364,0.355,0.009000000000000008,0.338,0.322,0.016000000000000014
"Stubbs, Garrett","596117","2023","125","85",0.204,0.161,0.04299999999999998,0.283,0.203,0.07999999999999996,0.252,0.207,0.04500000000000001
"Rivas III, Alfonso","663845","2023","123","75",0.229,0.217,0.01200000000000001,0.422,0.343,0.07899999999999996,0.313,0.282,0.031000000000000028
"Marte, Noelvi","682622","2023","123","89",0.316,0.295,0.02100000000000002,0.456,0.429,0.027000000000000024,0.357,0.34,0.01699999999999996
"Barnhart, Tucker","571466","2023","123","68",0.202,0.177,0.025000000000000022,0.257,0.229,0.027999999999999997,0.25,0.234,0.015999999999999986
"Young, Jacob","696285","2023","121","88",0.252,0.234,0.017999999999999988,0.336,0.311,0.025000000000000022,0.294,0.279,0.014999999999999958
"Herrera, Jose","645444","2023","120","77",0.208,0.209,-0.0010000000000000009,0.257,0.259,-0.0020000000000000018,0.256,0.26,-0.0040000000000000036
"Guillorme, Luis","641645","2023","120","82",0.224,0.193,0.031,0.327,0.262,0.065,0.269,0.236,0.03300000000000003
"García, Avisaíl","541645","2023","118","69",0.185,0.224,-0.03900000000000001,0.315,0.404,-0.08900000000000002,0.241,0.291,-0.04999999999999999
"Choi, Ji Man","596847","2023","117","71",0.163,0.237,-0.07399999999999998,0.385,0.493,-0.10799999999999998,0.267,0.349,-0.08199999999999996
"Walsh, Jared","665120","2023","116","59",0.125,0.149,-0.023999999999999994,0.279,0.255,0.02400000000000002,0.222,0.225,-0.0030000000000000027
"Aguilar, Jesús","542583","2023","115","74",0.221,0.188,0.033,0.385,0.318,0.067,0.282,0.247,0.034999999999999976
"Harrison, Josh","543281","2023","114","85",0.204,0.228,-0.02400000000000002,0.291,0.323,-0.03200000000000003,0.248,0.278,-0.030000000000000027
"Fry, David","681807","2023","113","71",0.238,0.243,-0.0050000000000000044,0.416,0.436,-0.020000000000000018,0.321,0.331,-0.010000000000000009
"Bradley Jr., Jackie","598265","2023","113","77",0.133,0.187,-0.05399999999999999,0.21,0.324,-0.11400000000000002,0.18,0.246,-0.066
"Chang, Yu","644374","2023","112","73",0.162,0.208,-0.045999999999999985,0.352,0.351,0.0010000000000000009,0.236,0.258,-0.02200000000000002
"Williams, Alika","675961","2023","112","67",0.198,0.198,0,0.248,0.263,-0.015000000000000013,0.238,0.244,-0.006000000000000005
"Nevin, Tyler","663527","2023","111","71",0.2,0.215,-0.014999999999999986,0.316,0.365,-0.04899999999999999,0.282,0.305,-0.02300000000000002
"Mauricio, Ronny","677595","2023","108","70",0.248,0.238,0.010000000000000009,0.347,0.359,-0.01200000000000001,0.284,0.284,0
"Haggerty, Sam","664059","2023","108","75",0.253,0.266,-0.013000000000000012,0.341,0.329,0.01200000000000001,0.321,0.324,-0.0030000000000000027
"Bride, Jonah","681146","2023","106","69",0.17,0.242,-0.07199999999999998,0.205,0.335,-0.13000000000000003,0.237,0.321,-0.08400000000000002
"Singleton, Jon","572138","2023","105","69",0.165,0.216,-0.05099999999999999,0.264,0.363,-0.09899999999999998,0.244,0.298,-0.05399999999999999
"Pinto, René","650907","2023","105","69",0.252,0.256,-0.0040000000000000036,0.456,0.511,-0.05499999999999999,0.306,0.329,-0.02300000000000002
"Davis, Jonathan","641505","2023","104","65",0.244,0.247,-0.0030000000000000027,0.378,0.346,0.03200000000000003,0.298,0.292,0.006000000000000005
"Aranda, Jonathan","666018","2023","103","57",0.23,0.192,0.038000000000000006,0.368,0.303,0.065,0.312,0.276,0.035999999999999976
"Pereira, Everson","677592","2023","103","53",0.151,0.214,-0.063,0.194,0.306,-0.11199999999999999,0.202,0.27,-0.068
"Azocar, José","640492","2023","102","72",0.231,0.26,-0.028999999999999998,0.363,0.39,-0.027000000000000024,0.28,0.305,-0.024999999999999967
"Palacios, Richie","680700","2023","102","84",0.258,0.243,0.015000000000000013,0.516,0.414,0.10200000000000004,0.346,0.305,0.04099999999999998
"Fletcher, Dominic","666150","2023","102","73",0.301,0.225,0.07599999999999998,0.441,0.328,0.11299999999999999,0.34,0.263,0.07700000000000001
"Hosmer, Eric","543333","2023","100","69",0.234,0.203,0.031,0.33,0.308,0.02200000000000002,0.269,0.247,0.02200000000000002
"Marlowe, Cade","687799","2023","100","55",0.239,0.191,0.04799999999999999,0.42,0.32,0.09999999999999998,0.327,0.274,0.05299999999999999
"Mervis, Matt","670223","2023","99","58",0.167,0.234,-0.067,0.289,0.427,-0.138,0.239,0.317,-0.07800000000000001
"Baker, Luken","663609","2023","99","55",0.209,0.237,-0.027999999999999997,0.314,0.384,-0.07,0.285,0.32,-0.03500000000000003
"Fletcher, David","664058","2023","97","81",0.247,0.229,0.017999999999999988,0.326,0.281,0.044999999999999984,0.276,0.25,0.026000000000000023
"Gonzalez, Romy","663853","2023","97","59",0.194,0.211,-0.016999999999999987,0.376,0.39,-0.014000000000000012,0.244,0.269,-0.025000000000000022
"Casali, Curt","592200","2023","96","60",0.175,0.207,-0.032,0.2,0.287,-0.08699999999999997,0.239,0.281,-0.04200000000000004
"Chavis, Michael","656308","2023","96","58",0.242,0.234,0.00799999999999998,0.341,0.298,0.04300000000000004,0.273,0.255,0.018000000000000016
"Bart, Joey","663698","2023","95","65",0.207,0.194,0.012999999999999984,0.264,0.283,-0.01899999999999996,0.239,0.245,-0.006000000000000005
"Pache, Cristian","665506","2023","95","58",0.238,0.244,-0.006000000000000005,0.417,0.392,0.024999999999999967,0.32,0.315,0.0050000000000000044
"Basabe, Osleivis","678545","2023","94","62",0.218,0.213,0.0050000000000000044,0.31,0.307,0.0030000000000000027,0.262,0.258,0.0040000000000000036
"Velazquez, Andrew","623205","2023","94","54",0.173,0.146,0.026999999999999996,0.284,0.231,0.052999999999999964,0.249,0.222,0.026999999999999996
"Hensley, David","682073","2023","94","49",0.119,0.18,-0.061,0.167,0.277,-0.11000000000000001,0.184,0.249,-0.065
"Kieboom, Carter","666198","2023","94","60",0.207,0.196,0.010999999999999982,0.368,0.309,0.059,0.277,0.252,0.025000000000000022
"Gordon, Nick","624503","2023","93","81",0.176,0.251,-0.07500000000000001,0.319,0.428,-0.10899999999999999,0.213,0.29,-0.07699999999999999
"Mead, Curtis","678554","2023","92","62",0.253,0.223,0.03,0.349,0.305,0.043999999999999984,0.302,0.273,0.02899999999999997
"Dozier, Hunter","641531","2023","91","54",0.183,0.183,0,0.305,0.283,0.02200000000000002,0.247,0.241,0.006000000000000005
"Andujar, Miguel","609280","2023","90","71",0.25,0.26,-0.010000000000000009,0.476,0.417,0.059,0.33,0.315,0.015000000000000013
"Luplow, Jordan","656669","2023","90","50",0.208,0.194,0.013999999999999985,0.325,0.289,0.03600000000000003,0.29,0.273,0.01699999999999996
"Alberto, Hanser","593643","2023","90","72",0.22,0.241,-0.02099999999999999,0.39,0.345,0.04500000000000004,0.279,0.274,0.0050000000000000044
"Rafaela, Ceddanne","678882","2023","89","56",0.241,0.198,0.04299999999999998,0.386,0.293,0.09300000000000003,0.287,0.238,0.04899999999999999
"Ramos, Henry","592656","2023","86","53",0.243,0.228,0.014999999999999986,0.311,0.308,0.0030000000000000027,0.303,0.297,0.006000000000000005
"Rocchio, Brayan","677587","2023","86","55",0.247,0.184,0.063,0.321,0.237,0.08400000000000002,0.263,0.204,0.059000000000000025
"Dixon, Brandon","641525","2023","86","50",0.203,0.185,0.018000000000000016,0.329,0.302,0.027000000000000024,0.249,0.238,0.01100000000000001
"Sullivan, Brett","664954","2023","86","63",0.21,0.226,-0.016000000000000014,0.284,0.3,-0.016000000000000014,0.232,0.246,-0.013999999999999985
"Capel, Conner","668843","2023","86","48",0.26,0.237,0.02300000000000002,0.329,0.295,0.03400000000000003,0.322,0.302,0.020000000000000018
"Abreu, Wilyer","677800","2023","85","53",0.316,0.27,0.045999999999999985,0.474,0.484,-0.010000000000000009,0.375,0.359,0.016000000000000014
"Bruján, Vidal","660644","2023","84","56",0.171,0.169,0.0020000000000000018,0.197,0.214,-0.016999999999999987,0.206,0.212,-0.006000000000000005
"Edwards, Xavier","669364","2023","84","66",0.295,0.248,0.046999999999999986,0.333,0.308,0.025000000000000022,0.295,0.264,0.030999999999999972
"Marisnick, Jake","545350","2023","83","57",0.237,0.226,0.010999999999999982,0.408,0.368,0.03999999999999998,0.294,0.277,0.01699999999999996
"Motter, Taylor","600301","2023","82","45",0.171,0.186,-0.014999999999999986,0.211,0.269,-0.058000000000000024,0.204,0.232,-0.028000000000000025
"Busch, Michael","683737","2023","81","46",0.167,0.182,-0.014999999999999986,0.292,0.341,-0.049000000000000044,0.241,0.264,-0.02300000000000002
"Daza, Yonathan","602074","2023","80","63",0.27,0.23,0.04000000000000001,0.351,0.311,0.03999999999999998,0.286,0.253,0.032999999999999974
"Grissom, Vaughn","687093","2023","80","61",0.28,0.278,0.0020000000000000018,0.347,0.384,-0.03700000000000003,0.289,0.304,-0.015000000000000013
"Rortvedt, Ben","666163","2023","79","49",0.118,0.18,-0.062,0.221,0.285,-0.06399999999999997,0.219,0.266,-0.047000000000000014
"Martini, Nick","605361","2023","79","57",0.264,0.257,0.007000000000000006,0.583,0.503,0.07999999999999996,0.382,0.352,0.030000000000000027
"Brosseau, Mike","670712","2023","78","53",0.205,0.197,0.00799999999999998,0.397,0.352,0.04500000000000004,0.281,0.262,0.019000000000000017
"Hilliard, Sam","656541","2023","78","39",0.236,0.204,0.032,0.431,0.369,0.062,0.312,0.277,0.034999999999999976
"Cowser, Colton","681297","2023","77","40",0.115,0.206,-0.09099999999999998,0.148,0.277,-0.12900000000000003,0.226,0.301,-0.07499999999999998
"Goodman, Hunter","696100","2023","77","48",0.2,0.211,-0.010999999999999982,0.386,0.354,0.03200000000000003,0.266,0.263,0.0030000000000000027
"Frazier, Clint","640449","2023","76","43",0.197,0.19,0.007000000000000006,0.242,0.246,-0.0040000000000000036,0.256,0.255,0.0010000000000000009
"Wells, Austin","669224","2023","75","57",0.229,0.283,-0.053999999999999965,0.486,0.584,-0.09799999999999998,0.309,0.373,-0.064
"Carter, Evan","694497","2023","75","39",0.306,0.249,0.056999999999999995,0.645,0.404,0.241,0.435,0.341,0.09399999999999997
"Voit, Luke","572228","2023","74","41",0.221,0.229,-0.008000000000000007,0.265,0.355,-0.08999999999999997,0.251,0.286,-0.034999999999999976
"Mitchell, Garrett","669003","2023","73","40",0.246,0.226,0.01999999999999999,0.446,0.344,0.10200000000000004,0.326,0.286,0.040000000000000036
"Beaty, Matt","607461","2023","72","47",0.23,0.198,0.032,0.295,0.249,0.045999999999999985,0.3,0.273,0.02699999999999997
"Mathias, Mark","664029","2023","72","47",0.226,0.229,-0.0030000000000000027,0.258,0.278,-0.020000000000000018,0.278,0.287,-0.008999999999999952
"Cordero, Franchy","614173","2023","71","44",0.188,0.217,-0.028999999999999998,0.478,0.44,0.03799999999999998,0.286,0.288,-0.0020000000000000018
"Florial, Estevan","664314","2023","71","42",0.23,0.241,-0.010999999999999982,0.311,0.344,-0.032999999999999974,0.288,0.306,-0.018000000000000016
"Phillips, Brett","621433","2023","71","27",0.175,0.149,0.025999999999999995,0.333,0.271,0.062,0.268,0.236,0.03200000000000003
"Stefanic, Michael","683021","2023","71","54",0.29,0.244,0.045999999999999985,0.355,0.311,0.043999999999999984,0.332,0.298,0.03400000000000003
"Myers, Dane","667472","2023","70","49",0.269,0.299,-0.02999999999999997,0.358,0.397,-0.039000000000000035,0.278,0.308,-0.02999999999999997
"Lee, Korey","686676","2023","70","45",0.077,0.189,-0.112,0.138,0.283,-0.14499999999999996,0.134,0.238,-0.10399999999999998
"Mendick, Danny","664901","2023","69","50",0.185,0.207,-0.021999999999999992,0.277,0.304,-0.02699999999999997,0.226,0.245,-0.01899999999999999
"Taylor, Samad","669392","2023","69","40",0.2,0.196,0.0040000000000000036,0.267,0.349,-0.08199999999999996,0.248,0.274,-0.026000000000000023
"Loftin, Nick","679845","2023","68","51",0.323,0.254,0.069,0.435,0.357,0.07800000000000001,0.348,0.306,0.04199999999999998
"Miller, Brad","543543","2023","67","46",0.214,0.228,-0.014000000000000012,0.339,0.363,-0.023999999999999966,0.3,0.316,-0.016000000000000014
"Locastro, Tim","641796","2023","67","36",0.232,0.22,0.01200000000000001,0.393,0.367,0.026000000000000023,0.327,0.315,0.01200000000000001
"Araúz, Jonathan","660620","2023","66","43",0.136,0.185,-0.04899999999999999,0.288,0.288,0,0.217,0.241,-0.023999999999999994
"Vosler, Jason","613564","2023","65","37",0.161,0.151,0.010000000000000009,0.371,0.294,0.07700000000000001,0.241,0.211,0.03
"Yepez, Juan","660766","2023","65","40",0.183,0.246,-0.063,0.3,0.369,-0.069,0.243,0.298,-0.05499999999999999
"Reyes, Franmil","614177","2023","65","37",0.186,0.176,0.010000000000000009,0.288,0.34,-0.052000000000000046,0.227,0.263,-0.036000000000000004
"Meckler, Wade","685133","2023","64","31",0.232,0.21,0.02200000000000002,0.25,0.255,-0.0050000000000000044,0.273,0.265,0.008000000000000007
"Adell, Jo","666176","2023","62","33",0.207,0.162,0.044999999999999984,0.448,0.324,0.124,0.299,0.235,0.064
"Fermín, José","665877","2023","61","45",0.235,0.273,-0.038000000000000034,0.255,0.338,-0.08300000000000002,0.281,0.323,-0.04199999999999998
"Nido, Tomás","621512","2023","61","41",0.125,0.156,-0.031,0.125,0.196,-0.07100000000000001,0.128,0.168,-0.04000000000000001
"Thompson, Bubba","669352","2023","60","39",0.17,0.175,-0.004999999999999977,0.283,0.253,0.02999999999999997,0.23,0.226,0.0040000000000000036
"Ramos, Heliot","671218","2023","60","36",0.179,0.193,-0.014000000000000012,0.304,0.345,-0.04099999999999998,0.236,0.259,-0.02300000000000002
"Brantley, Michael","488726","2023","57","53",0.278,0.277,0.0010000000000000009,0.426,0.358,0.068,0.309,0.286,0.02300000000000002
"Ruf, Darin","573131","2023","57","33",0.224,0.258,-0.034,0.286,0.448,-0.16200000000000003,0.287,0.354,-0.067
"Vavra, Terrin","679631","2023","56","39",0.245,0.259,-0.014000000000000012,0.245,0.366,-0.121,0.261,0.308,-0.046999999999999986
"Hall, Darick","669742","2023","56","36",0.167,0.215,-0.04799999999999999,0.241,0.299,-0.057999999999999996,0.193,0.237,-0.043999999999999984
"Eaton, Nate","681987","2023","56","32",0.075,0.177,-0.102,0.075,0.217,-0.14200000000000002,0.101,0.2,-0.099
"Cabbage, Trey","663550","2023","56","28",0.208,0.14,0.06799999999999998,0.321,0.239,0.08200000000000002,0.238,0.179,0.059
"Trammell, Taylor","666211","2023","56","24",0.13,0.164,-0.034,0.326,0.394,-0.068,0.279,0.313,-0.033999999999999975
"Wade, Tyler","642180","2023","55","38",0.255,0.215,0.04000000000000001,0.314,0.272,0.04199999999999998,0.278,0.246,0.03200000000000003
"Lamb, Jake","571875","2023","54","36",0.216,0.226,-0.010000000000000009,0.353,0.362,-0.009000000000000008,0.267,0.275,-0.008000000000000007
"Lewis, Kyle","641786","2023","54","30",0.157,0.182,-0.024999999999999994,0.255,0.265,-0.010000000000000009,0.204,0.22,-0.016000000000000014
"Dalbec, Bobby","666915","2023","53","21",0.204,0.198,0.005999999999999978,0.306,0.377,-0.07100000000000001,0.254,0.275,-0.02100000000000002
"Pérez, Carlos","656024","2023","53","38",0.204,0.197,0.0069999999999999785,0.347,0.302,0.044999999999999984,0.267,0.25,0.017000000000000015
"Alfaro, Jorge","595751","2023","52","33",0.146,0.209,-0.063,0.292,0.339,-0.04700000000000004,0.223,0.27,-0.047000000000000014
"Clement, Ernie","676391","2023","52","47",0.38,0.327,0.05299999999999999,0.5,0.431,0.069,0.378,0.328,0.04999999999999999
"Hill, Derek","656537","2023","50","36",0.17,0.196,-0.025999999999999995,0.191,0.24,-0.04899999999999999,0.19,0.219,-0.028999999999999998
"Johnson, Bryce","669369","2023","48","29",0.163,0.181,-0.017999999999999988,0.256,0.276,-0.020000000000000018,0.218,0.234,-0.016000000000000014
